_id,name,faculty_id,faculty_name,faculty_short_name
1,Biomédica,1,Ingeniería,ING
2,Biotecnología Industrial,1,Ingeniería,ING
3,Ciencias de Alimentos,1,Ingeniería,ING
4,Ciencias de Alimentos Industrial,1,Ingeniería,ING
5,Ciencia de la Administración,1,Ingeniería,ING
6,Ciencia de los Datos,1,Ingeniería,ING
7,Civil,1,Ingeniería,ING
8,Civil Ambiental,1,Ingeniería,ING
9,Civil Arquitectónica,1,Ingeniería,ING
10,Civil Industrial,1,Ingeniería,ING
11,Ciencia de la Computación y Tecnologías de la Información,1,Ingeniería,ING
12,Electrónica,1,Ingeniería,ING
13,Industrial,1,Ingeniería,ING
14,Mecánica,1,Ingeniería,ING
15,Mecánica Industrial,1,Ingeniería,ING
16,Mecatrónica,1,Ingeniería,ING
17,Ingeniería Química,1,Ingeniería,ING
18,Química Industrial,1,Ingeniería,ING
19,Antropología,2,Ciencias Sociales,CCSS
20,Arquelogía,2,Ciencias Sociales,CCSS
21,Psicología,2,Ciencias Sociales,CCSS
22,Relaciones Internacionales & Master of Arts in Global Affairs,2,Ciencias Sociales,CCSS
23,Biología,3,Ciencias y Humanidades,CCHH
24,Bioquímica y Microbiología,3,Ciencias y Humanidades,CCHH
25,Biotecnología Molecular,3,Ciencias y Humanidades,CCHH
26,Comunicación Estratégica,3,Ciencias y Humanidades,CCHH
27,Física,3,Ciencias y Humanidades,CCHH
28,Matemática Aplicada,3,Ciencias y Humanidades,CCHH
29,Nutrición,3,Ciencias y Humanidades,CCHH
30,Química,3,Ciencias y Humanidades,CCHH
31,Química Farmacéutica,3,Ciencias y Humanidades,CCHH
32,Educación Musical,4,Educación,EDU
33,Educaión Primaria,4,Educación,EDU
34,English Language Teaching,4,Educación,EDU
35,Educación Inclusiva,4,Educación,EDU
36,Ciencias Químicas y Biológicas,4,Educación,EDU
37,Matemática y Ciencias Físicas,4,Educación,EDU
38,Comunicación y Lenguaje,4,Educación,EDU
39,Ciencias Sociales,4,Educación,EDU
40,Problemas de Aprendizaje,4,Educación,EDU
41,Composición y Producción Musical,5,Design Innovation & Arts School,DI&A
42,Diseño de Producto e Innovación,5,Design Innovation & Arts School,DI&A
43,Administración de Empresas con Especialización en Transformación Digital,6,Business and Management School,BMS
44,Administración de Empresas con Especialización en Negocios de Alimentos,6,Business and Management School,BMS
45,International Marketing and Business Analytics,6,Business and Management School,BMS
46,Baccalaureatus en Artibus,7,Colegio Universitario,CUAE
47,Baccalaureatus en Scientiis,7,Colegio Universitario,CUAE
48,Arquitectura,8,Arquitectura,ARQ
