_id,countryName,countryIso3,continent_id,continentName
1,Argelia,DZA,2,África
5,Sudán,SDN,2,África
6,Túnez,TUN,2,África
7,Sáhara Occidental,ESH,2,África
8,Territorio Británico del Océano Índico,IOT,2,África
9,Burundi,BDI,2,África
10,Comoras,COM,2,África
11,Djibouti,DJI,2,África
12,Eritrea,ERI,2,África
13,Etiopía,ETH,2,África
14,Territorio de las Tierras Australes Francesas,ATF,2,África
15,Kenya,KEN,2,África
16,Madagascar,MDG,2,África
17,Malawi,MWI,2,África
18,Mauricio,MUS,2,África
19,Mayotte,MYT,2,África
20,Mozambique,MOZ,2,África
21,Reunión,REU,2,África
22,Rwanda,RWA,2,África
23,Seychelles,SYC,2,África
24,Somalia,SOM,2,África
25,Sudán del Sur,SSD,2,África
26,Uganda,UGA,2,África
27,República Unida de Tanzanía,TZA,2,África
28,Zambia,ZMB,2,África
29,Zimbabwe,ZWE,2,África
30,Angola,AGO,2,África
31,Camerún,CMR,2,África
32,República Centroafricana,CAF,2,África
33,Chad,TCD,2,África
34,Congo,COG,2,África
35,República Democrática del Congo,COD,2,África
36,Guinea Ecuatorial,GNQ,2,África
37,Gabón,GAB,2,África
38,Santo Tomé y Príncipe,STP,2,África
39,Botswana,BWA,2,África
40,Eswatini,SWZ,2,África
41,Lesotho,LSO,2,África
42,Namibia,NAM,2,África
43,Sudáfrica,ZAF,2,África
44,Benin,BEN,2,África
45,Burkina Faso,BFA,2,África
46,Cabo Verde,CPV,2,África
47,Côte d’Ivoire,CIV,2,África
48,Gambia,GMB,2,África
49,Ghana,GHA,2,África
50,Guinea,GIN,2,África
51,Guinea-Bissau,GNB,2,África
52,Liberia,LBR,2,África
53,Malí,MLI,2,África
54,Mauritania,MRT,2,África
55,Níger,NER,2,África
56,Nigeria,NGA,2,África
57,Santa Elena,SHN,2,África
58,Senegal,SEN,2,África
59,Sierra Leona,SLE,2,África
60,Togo,TGO,2,África
61,Anguila,AIA,3,Américas
62,Antigua y Barbuda,ATG,3,Américas
63,Aruba,ABW,3,Américas
64,Bahamas,BHS,3,Américas
65,Barbados,BRB,3,Américas
66,"Bonaire, San Eustaquio y Saba",BES,3,Américas
67,Islas Vírgenes Británicas,VGB,3,Américas
68,Islas Caimán,CYM,3,Américas
69,Cuba,CUB,3,Américas
70,Curazao,CUW,3,Américas
71,Dominica,DMA,3,Américas
72,República Dominicana,DOM,3,Américas
73,Granada,GRD,3,Américas
74,Guadalupe,GLP,3,Américas
75,Haití,HTI,3,Américas
76,Jamaica,JAM,3,Américas
77,Martinica,MTQ,3,Américas
78,Montserrat,MSR,3,Américas
79,Puerto Rico,PRI,3,Américas
80,San Barthélemy,BLM,3,Américas
81,Saint Kitts y Nevis,KNA,3,Américas
82,Santa Lucía,LCA,3,Américas
83,San Martín (parte francesa),MAF,3,Américas
84,San Vicente y las Granadinas,VCT,3,Américas
85,San Martín (parte Holandesa),SXM,3,Américas
86,Trinidad y Tabago,TTO,3,Américas
87,Islas Turcas y Caicos,TCA,3,Américas
88,Islas Vírgenes de los Estados Unidos,VIR,3,Américas
89,Belice,BLZ,3,Américas
90,Costa Rica,CRI,3,Américas
91,El Salvador,SLV,3,Américas
92,Guatemala,GTM,3,Américas
93,Honduras,HND,3,Américas
94,México,MEX,3,Américas
95,Nicaragua,NIC,3,Américas
96,Panamá,PAN,3,Américas
97,Argentina,ARG,3,Américas
98,Bolivia (Estado Plurinacional de),BOL,3,Américas
99,Isla Bouvet,BVT,3,Américas
100,Brasil,BRA,3,Américas
101,Chile,CHL,3,Américas
102,Colombia,COL,3,Américas
103,Ecuador,ECU,3,Américas
104,Islas Malvinas (Falkland),FLK,3,Américas
105,Guayana Francesa,GUF,3,Américas
106,Guyana,GUY,3,Américas
107,Paraguay,PRY,3,Américas
108,Perú,PER,3,Américas
109,Georgia del Sur y las Islas Sandwich del Sur,SGS,3,Américas
110,Suriname,SUR,3,Américas
111,Uruguay,URY,3,Américas
112,Venezuela (República Bolivariana de),VEN,3,Américas
2,Egipto,EGY,2,África
3,Libia,LBY,2,África
4,Marruecos,MAR,2,África
113,Bermuda,BMU,3,Américas
114,Canadá,CAN,3,Américas
115,Groenlandia,GRL,3,Américas
116,San Pedro y Miquelón,SPM,3,Américas
117,Estados Unidos de América,USA,3,Américas
118,Antártida,ATA,7,Antártida
119,Kazajstán,KAZ,1,Asia
120,Kirguistán,KGZ,1,Asia
121,Tayikistán,TJK,1,Asia
122,Turkmenistán,TKM,1,Asia
123,Uzbekistán,UZB,1,Asia
124,China,CHN,1,Asia
125,"China, región administrativa especial de Hong Kong",HKG,1,Asia
126,"China, región administrativa especial de Macao",MAC,1,Asia
127,República Popular Democrática de Corea,PRK,1,Asia
128,Japón,JPN,1,Asia
129,Mongolia,MNG,1,Asia
130,República de Corea,KOR,1,Asia
131,Brunei Darussalam,BRN,1,Asia
132,Camboya,KHM,1,Asia
133,Indonesia,IDN,1,Asia
134,República Democrática Popular Lao,LAO,1,Asia
135,Malasia,MYS,1,Asia
136,Myanmar,MMR,1,Asia
137,Filipinas,PHL,1,Asia
138,Singapur,SGP,1,Asia
139,Tailandia,THA,1,Asia
140,Timor-Leste,TLS,1,Asia
141,Viet Nam,VNM,1,Asia
142,Afganistán,AFG,1,Asia
143,Bangladesh,BGD,1,Asia
144,Bhután,BTN,1,Asia
145,India,IND,1,Asia
146,Irán (República Islámica del),IRN,1,Asia
147,Maldivas,MDV,1,Asia
148,Nepal,NPL,1,Asia
149,Pakistán,PAK,1,Asia
150,Sri Lanka,LKA,1,Asia
151,Armenia,ARM,1,Asia
152,Azerbaiyán,AZE,1,Asia
153,Bahrein,BHR,1,Asia
154,Chipre,CYP,1,Asia
155,Georgia,GEO,1,Asia
156,Iraq,IRQ,1,Asia
157,Israel,ISR,1,Asia
158,Jordania,JOR,1,Asia
159,Kuwait,KWT,1,Asia
160,Líbano,LBN,1,Asia
161,Omán,OMN,1,Asia
162,Qatar,QAT,1,Asia
163,Arabia Saudita,SAU,1,Asia
164,Estado de Palestina,PSE,1,Asia
165,República Árabe Siria,SYR,1,Asia
166,Türkiye,TUR,1,Asia
167,Emiratos Árabes Unidos,ARE,1,Asia
168,Yemen,YEM,1,Asia
169,Belarús,BLR,5,Europa
170,Bulgaria,BGR,5,Europa
171,Chequia,CZE,5,Europa
172,Hungría,HUN,5,Europa
173,Polonia,POL,5,Europa
174,República de Moldova,MDA,5,Europa
175,Rumania,ROU,5,Europa
176,Federación de Rusia,RUS,5,Europa
177,Eslovaquia,SVK,5,Europa
178,Ucrania,UKR,5,Europa
179,Islas Åland,ALA,5,Europa
180,Guernsey,GGY,5,Europa
181,Jersey,JEY,5,Europa
182,Sark,,5,Europa
183,Dinamarca,DNK,5,Europa
184,Estonia,EST,5,Europa
185,Islas Feroe,FRO,5,Europa
186,Finlandia,FIN,5,Europa
187,Islandia,ISL,5,Europa
188,Irlanda,IRL,5,Europa
189,Isla de Man,IMN,5,Europa
190,Letonia,LVA,5,Europa
191,Lituania,LTU,5,Europa
192,Noruega,NOR,5,Europa
193,Islas Svalbard y Jan Mayen,SJM,5,Europa
194,Suecia,SWE,5,Europa
196,Albania,ALB,5,Europa
197,Andorra,AND,5,Europa
198,Bosnia y Herzegovina,BIH,5,Europa
199,Croacia,HRV,5,Europa
200,Gibraltar,GIB,5,Europa
201,Grecia,GRC,5,Europa
202,Santa Sede,VAT,5,Europa
203,Italia,ITA,5,Europa
204,Malta,MLT,5,Europa
205,Montenegro,MNE,5,Europa
206,Macedonia del Norte,MKD,5,Europa
207,Portugal,PRT,5,Europa
208,San Marino,SMR,5,Europa
209,Serbia,SRB,5,Europa
210,Eslovenia,SVN,5,Europa
211,España,ESP,5,Europa
212,Austria,AUT,5,Europa
213,Bélgica,BEL,5,Europa
214,Francia,FRA,5,Europa
215,Alemania,DEU,5,Europa
216,Liechtenstein,LIE,5,Europa
217,Luxemburgo,LUX,5,Europa
218,Mónaco,MCO,5,Europa
220,Suiza,CHE,5,Europa
219,Países Bajos,NLD,5,Europa
195,Reino Unido,GBR,5,Europa
221,Australia,AUS,6,Oceanía
222,Isla Christmas,CXR,6,Oceanía
223,Islas Cocos (Keeling),CCK,6,Oceanía
224,Islas Heard y McDonald,HMD,6,Oceanía
225,Nueva Zelandia,NZL,6,Oceanía
226,Isla Norfolk,NFK,6,Oceanía
227,Fiji,FJI,6,Oceanía
228,Nueva Caledonia,NCL,6,Oceanía
229,Papua Nueva Guinea,PNG,6,Oceanía
230,Islas Salomón,SLB,6,Oceanía
231,Vanuatu,VUT,6,Oceanía
232,Guam,GUM,6,Oceanía
233,Kiribati,KIR,6,Oceanía
234,Islas Marshall,MHL,6,Oceanía
235,Micronesia (Estados Federados de),FSM,6,Oceanía
236,Nauru,NRU,6,Oceanía
237,Islas Marianas Septentrionales,MNP,6,Oceanía
238,Palau,PLW,6,Oceanía
239,Islas menores alejadas de Estados Unidos,UMI,6,Oceanía
240,Samoa Americana,ASM,6,Oceanía
241,Islas Cook,COK,6,Oceanía
242,Polinesia Francesa,PYF,6,Oceanía
243,Niue,NIU,6,Oceanía
244,Pitcairn,PCN,6,Oceanía
245,Samoa,WSM,6,Oceanía
246,Tokelau,TKL,6,Oceanía
247,Tonga,TON,6,Oceanía
248,Tuvalu,TUV,6,Oceanía
249,Islas Wallis y Futuna,WLF,6,Oceanía
