_id,student_id,university_id,year,semester,modality,status,start_date,end_date,comments
0,20710,107,2012,2,ELAP,Finalizada,2020-03-16,2021-11-05,Song industry inside who. Drop near fight shake appear. Close have quickly service produce various couple.
1,20069,78,2006,2,ELAP,Finalizada,2020-03-16,2021-11-05,"Short interview act skin action. History improve simple high sort leg ahead.
Car available why experience. Finish model song water rate red."
2,21079,105,2006,1,ELAP,Cancelada,2020-03-16,2021-11-05,"Land someone any west authority or pay. Minute think drug not mind rather piece wish. East onto source song may project best.
Hotel just yeah base. Worker create simply specific wrong must three."
3,20777,113,2003,2,ELAP,Finalizada,2020-03-16,2021-11-05,I modern force night we. Involve game clear determine go.
4,20390,89,2016,1,Beca,Cancelada,2020-03-16,2021-11-05,"Open people pay member community event. Support attention contain ask arm series around. Reason value matter market if.
Republican few price continue around government. Enough help pressure."
5,22449,93,2004,1,Beca,Cancelada,2020-03-16,2021-11-05,"Another want gun perhaps surface threat develop. Thing president in another cold expect wide.
Card others public Mr. Loss during keep painting. Rate peace imagine sit save."
6,20069,101,2020,2,Visitante,Cancelada,2020-03-16,2021-11-05,"Cost nearly of. Cover person its until friend eight little.
News spend offer somebody art person mention loss. Approach expect whole message ahead physical."
7,20752,83,2002,2,Beca,Finalizada,2020-03-16,2021-11-05,Weight yard seven board vote learn. Apply pretty national another mention either prepare every.
8,20890,81,2004,1,Beca,Finalizada,2020-03-16,2021-11-05,"Both especially pay painting wonder ground fire process. Gun available single fine teacher value.
Major almost song win. Save strategy there future moment."
9,19025,82,2022,1,ELAP,Cancelada,2020-03-16,2021-11-05,Expect direction really task TV major admit. Majority these fine computer decide lay.
10,20021,84,2017,1,Convenio,En curso,2020-03-16,2021-11-05,Go institution well yet. Camera marriage he thus rest or. Past law black trial dinner let consider.
11,18844,103,2006,2,Visitante,En curso,2020-03-16,2021-11-05,"Daughter just policy box head pick who. All federal section eat. Stuff win share operation gun season.
Vote chance physical girl marriage idea worry. Pay reflect gas relate ability."
12,18624,128,2021,2,Visitante,Cancelada,2020-03-16,2021-11-05,Teacher little something central sometimes pick evening collection. Local another hair girl source person place realize. Lawyer director itself together.
13,20390,91,2013,1,ELAP,En curso,2020-03-16,2021-11-05,"Accept enough left million chance easy anyone share. Defense not carry PM between.
Read themselves able level. Beautiful rate will attack."
14,21079,87,2005,2,ELAP,En curso,2020-03-16,2021-11-05,"Listen final exactly many detail defense.
Effect eight practice so suffer eat think full. Door look collection fund. Result perhaps south industry interview become long."
15,17228,94,2020,2,Convenio,En curso,2020-03-16,2021-11-05,"Back condition kitchen allow simple. Next manage different office it. Five late two.
Success sign rise themselves mention lead. Seem few market line page bit wear. Follow affect third price food."
16,123321,116,2001,2,Visitante,Finalizada,2020-03-16,2021-11-05,"Represent should police program reach him civil. Water keep owner government arrive.
Generation performance girl enter. Situation staff government himself anyone. Military book pressure."
17,21580,103,2022,1,Convenio,Cancelada,2020-03-16,2021-11-05,"Turn face design stand. But scene trouble.
Black himself position cup. Artist wait down high practice media off. Adult word film someone use house body."
